student_id,age,gender,attendance_pct,study_hours_per_day,prev_gpa,assignments_submitted,extracurricular_score,parent_education,internet_access,part_time_job,counseling_sessions,behavioral_notes,predicted_gpa,grade,pass_fail
STU1019,22,Female,93.0,5.8,9.5,96,9,PhD,1,0,5,Excellent leadership and outstanding critical thinking,9.52,A,1
STU1020,18,Male,80.0,3.9,7.75,86,6,Bachelor,1,0,3,Consistent improvement and active participation,7.7,B+,1
STU1021,19,Female,70.0,2.8,6.5,75,4,High School,1,1,2,Struggles with deadlines but motivated student,6.3,B,1
STU1022,20,Male,84.0,4.3,8.25,90,7,Master,1,0,3,Highly engaged and shows excellent teamwork,8.28,B+,1
STU1023,17,Female,48.0,1.1,3.75,52,2,High School,0,1,0,Attendance issues severely affecting performance,3.6,F,0
STU1024,21,Male,89.0,5.0,9.0,93,8,Master,1,0,4,Outstanding performance with consistent improvement,8.92,A,1
STU1025,18,Female,76.0,3.5,7.25,81,5,Bachelor,1,0,2,Shows improvement and participates in discussions,7.22,B,1
STU1026,19,Male,65.0,2.4,5.5,70,3,High School,1,1,1,Needs additional support in multiple subjects,5.45,C,2
STU1027,20,Female,92.0,5.5,9.25,95,8,Master,1,0,4,Excellent teamwork and leadership demonstrated,9.3,A,1
STU1028,17,Male,58.0,1.9,4.5,63,3,High School,0,1,1,Frequently distracted and struggles consistently,4.4,D,0
STU1029,22,Female,86.0,4.6,8.5,91,7,Bachelor,1,0,3,Highly engaged with consistent improvement shown,8.45,B+,1
STU1030,18,Male,79.0,3.7,7.5,84,6,Bachelor,1,0,2,Good participation and steady academic progress,7.43,B,1
STU1031,19,Female,94.0,6.0,9.75,97,9,PhD,1,0,5,Outstanding critical thinking and excellent performance,9.7,A,1
STU1032,20,Male,67.0,2.6,5.75,73,4,High School,1,1,2,Struggles with deadlines but shows motivation,5.68,C,2
STU1033,21,Female,81.0,4.0,8.0,87,6,Bachelor,1,0,3,Consistent improvement and active in discussions,7.92,B+,1
STU1034,17,Male,53.0,1.4,4.25,58,2,High School,0,1,0,Attendance issues and frequently distracted,4.12,D,0
STU1035,22,Female,90.0,5.3,9.0,93,8,Master,1,0,4,Excellent teamwork and outstanding participation,9.02,A,1
STU1036,18,Male,75.0,3.3,7.0,80,5,Bachelor,1,0,2,Participative student with steady improvement,6.98,B,1
STU1037,19,Female,62.0,2.1,5.0,67,3,High School,0,1,1,Needs support and has attendance challenges,4.9,D,2
STU1038,20,Male,88.0,4.9,8.75,92,7,Bachelor,1,0,3,Shows consistent improvement and leadership,8.65,B+,1
STU1039,21,Female,73.0,3.1,6.75,78,5,High School,1,0,2,Motivated student with good participation,6.72,B,1
STU1040,17,Male,46.0,1.0,3.75,51,2,High School,0,1,0,Frequent absences and distracted in class,3.58,F,0
STU1041,22,Female,95.0,6.0,9.75,98,9,PhD,1,0,5,Outstanding performance across all subjects,9.8,A,1
STU1042,18,Male,82.0,4.1,8.0,88,6,Bachelor,1,0,3,Consistent improvement and excellent engagement,7.98,B+,1
STU1043,19,Female,69.0,2.7,6.25,74,4,High School,1,1,2,Struggles but remains motivated to succeed,6.15,C,1
STU1044,20,Male,91.0,5.4,9.25,94,8,Master,1,0,4,Excellent critical thinking and teamwork skills,9.15,A,1
STU1045,17,Female,57.0,1.8,4.5,62,3,High School,0,1,1,Distracted frequently and needs urgent support,4.35,D,0
STU1046,21,Male,85.0,4.4,8.25,90,7,Bachelor,1,0,3,Highly engaged with outstanding participation,8.3,B+,1
STU1047,18,Female,78.0,3.6,7.5,83,5,Bachelor,1,0,2,Good study habits and consistent attendance,7.48,B,1
STU1048,19,Male,64.0,2.3,5.25,69,3,High School,1,1,1,Needs additional support in core subjects,5.2,C,2
STU1049,20,Female,93.0,5.7,9.5,96,9,Master,1,0,5,Outstanding leadership and critical thinking shown,9.48,A,1
STU1050,22,Male,71.0,2.9,6.5,77,4,Bachelor,1,0,2,Steady progress with active class participation,6.45,B,1
STU1051,18,Female,87.0,4.7,8.5,91,7,Master,1,0,3,Shows consistent improvement and engagement,8.5,B+,1
STU1052,17,Male,54.0,1.5,4.25,59,2,High School,0,1,0,Attendance issues and struggling academically,4.2,D,0
STU1053,19,Female,96.0,6.0,10.0,99,10,PhD,1,0,6,Exceptional performance and outstanding leadership,9.93,A,1
STU1054,20,Male,76.0,3.4,7.25,82,5,Bachelor,1,0,2,Participative with good study consistency,7.2,B,1
STU1055,21,Female,66.0,2.5,5.75,71,4,High School,1,1,2,Struggles with some subjects but motivated,5.72,C,2
STU1056,18,Male,89.0,5.1,9.0,93,8,Master,1,0,4,Excellent engagement and consistent improvement,8.95,A,1
STU1057,19,Female,61.0,2.0,4.75,66,3,High School,0,1,1,Attendance problems and needs urgent help,4.68,D,2
STU1058,20,Male,83.0,4.2,8.25,89,6,Bachelor,1,0,3,Consistent improvement with great participation,8.2,B+,1
STU1059,17,Female,72.0,3.0,7.0,78,5,Bachelor,1,0,2,Shows steady improvement in all subjects,6.92,B,1
STU1060,22,Male,47.0,1.1,3.75,53,2,High School,0,1,0,Frequent absences and very distracted student,3.68,F,0
STU1061,18,Female,91.0,5.3,9.25,94,8,Master,1,0,4,Outstanding teamwork and leadership abilities,9.1,A,1
STU1062,19,Male,77.0,3.6,7.5,83,5,Bachelor,1,0,2,Good progress with active class involvement,7.4,B,1
STU1063,20,Female,59.0,1.9,4.5,64,3,High School,0,1,1,Needs support and has regular attendance gaps,4.47,D,0
STU1064,21,Male,86.0,4.5,8.5,91,7,Bachelor,1,0,3,Highly engaged and shows excellent improvement,8.43,B+,1
STU1065,17,Female,80.0,3.9,7.75,86,6,Bachelor,1,0,2,Consistent attendance and great participation,7.68,B+,1
STU1066,22,Male,94.0,5.9,9.75,97,9,PhD,1,0,5,Exceptional critical thinking and leadership skills,9.65,A,1
STU1067,18,Female,68.0,2.7,6.0,73,4,High School,1,1,2,Struggles but shows motivation to improve,5.9,C,2
STU1068,19,Male,84.0,4.3,8.25,90,7,Master,1,0,3,Excellent teamwork and consistent improvement,8.25,B+,1
STU1069,20,Female,74.0,3.2,7.0,79,5,Bachelor,1,0,2,Participative student with steady academic growth,7.02,B,1
STU1070,17,Male,51.0,1.3,4.0,56,2,High School,0,1,0,Attendance issues causing academic difficulties,3.95,D,0
STU1071,21,Female,92.0,5.5,9.25,95,8,Master,1,0,4,Outstanding performance and excellent engagement,9.25,A,1
STU1072,18,Male,79.0,3.8,7.75,85,6,Bachelor,1,0,3,Shows consistent improvement and participates well,7.72,B+,1
STU1073,19,Female,70.0,2.8,6.5,76,4,High School,1,1,2,Struggles with some deadlines but motivated,6.35,B,1
STU1074,20,Male,88.0,4.8,8.75,92,7,Bachelor,1,0,3,Highly engaged with consistent academic improvement,8.6,B+,1
STU1075,22,Female,63.0,2.2,5.0,68,3,High School,0,1,1,Needs additional support and has missed classes,4.88,D,2
STU1076,17,Male,90.0,5.2,9.0,93,8,Master,1,0,4,Excellent critical thinking and strong teamwork,8.92,A,1
STU1077,19,Female,75.0,3.3,7.25,81,5,Bachelor,1,0,2,Good participation and steady improvement seen,7.15,B,1
STU1078,20,Male,65.0,2.4,5.5,70,3,High School,1,1,1,Needs support in multiple core subjects,5.4,C,2
STU1079,21,Female,93.0,5.7,9.5,96,9,Master,1,0,5,Outstanding leadership and excellent engagement,9.45,A,1
STU1080,18,Male,57.0,1.8,4.5,62,3,High School,0,1,1,Frequently distracted and struggles with work,4.32,D,0
STU1081,19,Female,85.0,4.4,8.25,90,7,Bachelor,1,0,3,Consistent improvement and highly engaged,8.28,B+,1
STU1082,20,Male,78.0,3.7,7.5,84,5,Bachelor,1,0,2,Good study habits and active participation,7.43,B,1
STU1083,17,Female,44.0,1.0,3.5,49,1,High School,0,1,0,Very poor attendance affecting all subjects,3.45,F,0
STU1084,22,Male,87.0,4.6,8.5,91,7,Master,1,0,3,Shows excellent improvement and strong engagement,8.48,B+,1
STU1085,18,Female,95.0,6.0,9.75,98,10,PhD,1,0,6,Exceptional performance and outstanding skills,9.83,A,1
STU1086,19,Male,66.0,2.5,5.75,71,4,High School,1,1,2,Motivated but needs support with deadlines,5.65,C,2
STU1087,20,Female,89.0,5.0,9.0,93,8,Master,1,0,4,Excellent teamwork and consistent performance,8.9,A,1
STU1088,21,Male,60.0,2.0,4.75,65,3,High School,0,1,1,Attendance issues and struggling in classes,4.65,D,2
STU1089,17,Female,82.0,4.1,8.0,88,6,Bachelor,1,0,3,Highly engaged student with consistent growth,7.95,B+,1
STU1090,22,Male,73.0,3.1,6.75,79,5,Bachelor,1,0,2,Steady progress and active in all discussions,6.7,B,1
STU1091,18,Female,91.0,5.4,9.25,94,8,Master,1,0,4,Outstanding participation and critical thinking,9.07,A,1
STU1092,19,Male,55.0,1.7,4.5,61,2,High School,0,1,0,Needs urgent support and has poor attendance,4.25,D,0
STU1093,20,Female,84.0,4.2,8.25,89,7,Bachelor,1,0,3,Consistent improvement with excellent engagement,8.22,B+,1
STU1094,21,Male,76.0,3.5,7.25,82,5,Bachelor,1,0,2,Good participation and steady academic progress,7.18,B,1
STU1095,17,Female,67.0,2.6,6.0,72,4,High School,1,1,2,Struggles but remains motivated and engaged,5.88,C,2
STU1096,22,Male,96.0,6.0,10.0,99,10,PhD,1,0,6,Exceptional performance across all areas,9.9,A,1
STU1097,18,Female,58.0,1.9,4.5,63,3,High School,0,1,1,Attendance gaps and frequently needs support,4.42,D,0
STU1098,19,Male,86.0,4.5,8.5,91,7,Bachelor,1,0,3,Highly engaged with outstanding improvement,8.4,B+,1
STU1099,20,Female,80.0,3.9,7.75,86,6,Bachelor,1,0,2,Consistent attendance and great participation,7.65,B+,1
STU1100,17,Male,94.0,5.8,9.5,96,9,Master,1,0,5,Excellent leadership and outstanding teamwork,9.43,A,1
